status	name	kind	file	line	prodRefs	testRefs	reachableRefs	selfRefs
MODULE-UNREACHABLE	uiKnowledgeSpec	const	packages/content/src/specs/misc.ts	117	1	0	0	1
MODULE-UNREACHABLE	blowMethodsSpec	const	packages/content/src/specs/mon-init.ts	11	1	0	0	1
MODULE-UNREACHABLE	blowEffectsSpec	const	packages/content/src/specs/mon-init.ts	27	1	0	0	1
MODULE-UNREACHABLE	painSpec	const	packages/content/src/specs/mon-init.ts	45	1	0	0	1
MODULE-UNREACHABLE	monsterSpellSpec	const	packages/content/src/specs/mon-init.ts	61	1	0	0	1
MODULE-UNREACHABLE	monsterBaseSpec	const	packages/content/src/specs/mon-init.ts	85	1	0	0	1
MODULE-UNREACHABLE	monsterSpec	const	packages/content/src/specs/mon-init.ts	98	1	0	0	1
MODULE-UNREACHABLE	pitSpec	const	packages/content/src/specs/mon-init.ts	139	1	0	0	1
MODULE-UNREACHABLE	projectionSpec	const	packages/content/src/specs/obj-init.ts	11	1	0	0	1
MODULE-UNREACHABLE	objectBaseSpec	const	packages/content/src/specs/obj-init.ts	34	1	0	0	1
MODULE-UNREACHABLE	slaySpec	const	packages/content/src/specs/obj-init.ts	49	1	0	0	1
MODULE-UNREACHABLE	brandSpec	const	packages/content/src/specs/obj-init.ts	66	1	0	0	1
MODULE-UNREACHABLE	curseSpec	const	packages/content/src/specs/obj-init.ts	82	1	0	0	1
MODULE-UNREACHABLE	activationSpec	const	packages/content/src/specs/obj-init.ts	105	1	0	0	1
MODULE-UNREACHABLE	objectSpec	const	packages/content/src/specs/obj-init.ts	123	1	0	0	1
MODULE-UNREACHABLE	egoItemSpec	const	packages/content/src/specs/obj-init.ts	158	1	0	0	1
MODULE-UNREACHABLE	artifactSpec	const	packages/content/src/specs/obj-init.ts	183	1	0	0	1
MODULE-UNREACHABLE	objectPropertySpec	const	packages/content/src/specs/obj-init.ts	209	1	0	0	1
MODULE-UNREACHABLE	uiEntryBaseSpec	const	packages/content/src/specs/ui-entry.ts	44	1	0	0	1
MODULE-UNREACHABLE	uiEntrySpec	const	packages/content/src/specs/ui-entry.ts	51	1	0	0	1
MODULE-UNREACHABLE	uiEntryRendererSpec	const	packages/content/src/specs/ui-entry.ts	58	1	0	0	1
MODULE-UNREACHABLE	visualsSpec	const	packages/content/src/specs/visuals.ts	27	1	0	0	1
MODULE-UNREACHABLE	definePlugin	function	packages/web/src/agents/sandbox/worker-runtime.ts	122	1	1	1	6
MODULE-UNREACHABLE	snapshotView	function	packages/web/src/agents/sandbox/worker-runtime.ts	155	0	1	0	2
MODULE-UNREACHABLE	sandboxActions	function	packages/web/src/agents/sandbox/worker-runtime.ts	198	0	1	0	2
MODULE-UNREACHABLE	createRuntimeHandler	function	packages/web/src/agents/sandbox/worker-runtime.ts	261	0	1	0	2
MODULE-UNREACHABLE	runWorkerRuntime	function	packages/web/src/agents/sandbox/worker-runtime.ts	346	1	0	1	5
MODULE-UNREACHABLE	SandboxCapabilityError	class	packages/web/src/agents/sandbox/worker-runtime.ts	131	0	1	0	2
ORPHAN	defineTrustedPlugin	function	packages/web/src/agents/trusted/runtime.ts	44	0	0	0	1
TEST-ONLY	clearInputQueue	function	packages/web/src/input-queue.ts	77	0	1	0	1
TEST-ONLY	clearKeymaps	function	packages/web/src/keymap-store.ts	83	0	2	0	1
DEAD-LOCAL	TITLE_COLOR	local-const	packages/web/src/knowledge.ts	70	0	0	0	1
ORPHAN	packHandles	function	packages/web/src/screens.ts	233	0	0	0	1
ORPHAN	equipmentMenu	function	packages/web/src/screens.ts	387	0	0	0	1
TEST-ONLY	autoinscriptionMenu	function	packages/web/src/screens.ts	905	0	1	0	1
REF-UNREACHABLE	collectLevel	function	packages/cli/src/stats.ts	221	1	0	0	3
MODULE-UNREACHABLE	objMonStats	function	packages/cli/src/wiz-stats.ts	112	0	1	0	3
MODULE-UNREACHABLE	pitStats	function	packages/cli/src/wiz-stats.ts	228	0	1	0	3
MODULE-UNREACHABLE	disconnectStats	function	packages/cli/src/wiz-stats.ts	402	0	1	0	3
MODULE-UNREACHABLE	DEFAULT_OBJ_MON_PARAMS	const	packages/cli/src/wiz-stats.ts	74	0	0	0	2
MODULE-UNREACHABLE	DEFAULT_PIT_PARAMS	const	packages/cli/src/wiz-stats.ts	193	0	0	0	2
MODULE-UNREACHABLE	DEFAULT_DISCONNECT_PARAMS	const	packages/cli/src/wiz-stats.ts	315	0	0	0	2
MODULE-UNREACHABLE	parseCapability	function	packages/mod-sdk/src/capabilities.ts	76	2	1	2	3
MODULE-UNREACHABLE	CapabilityError	class	packages/mod-sdk/src/capabilities.ts	53	1	1	1	8
MODULE-UNREACHABLE	CapabilitySet	class	packages/mod-sdk/src/capabilities.ts	134	7	2	7	5
MODULE-UNREACHABLE	mergePatch	function	packages/mod-sdk/src/compose.ts	74	3	1	1	3
MODULE-UNREACHABLE	composePacks	function	packages/mod-sdk/src/compose.ts	108	2	1	1	2
MODULE-UNREACHABLE	ComposeError	class	packages/mod-sdk/src/compose.ts	71	1	0	1	9
MODULE-UNREACHABLE	computeConflictReport	function	packages/mod-sdk/src/conflicts.ts	165	2	1	2	1
MODULE-UNREACHABLE	composeContentPacks	function	packages/mod-sdk/src/loader.ts	92	2	1	2	2
MODULE-UNREACHABLE	validateManifest	function	packages/mod-sdk/src/manifest.ts	118	1	3	1	1
MODULE-UNREACHABLE	slugify	function	packages/mod-sdk/src/manifest.ts	244	2	1	1	2
MODULE-UNREACHABLE	packRef	function	packages/mod-sdk/src/manifest.ts	252	2	1	1	1
MODULE-UNREACHABLE	ManifestError	class	packages/mod-sdk/src/manifest.ts	115	2	0	1	24
MODULE-UNREACHABLE	applyFieldPatch	function	packages/mod-sdk/src/patch.ts	87	2	1	1	2
MODULE-UNREACHABLE	composeFieldPatches	function	packages/mod-sdk/src/patch.ts	178	3	1	1	1
MODULE-UNREACHABLE	touchedFields	function	packages/mod-sdk/src/patch.ts	208	2	1	1	1
MODULE-UNREACHABLE	PatchError	class	packages/mod-sdk/src/patch.ts	22	1	1	1	2
MODULE-UNREACHABLE	resolveLoadOrder	function	packages/mod-sdk/src/resolve.ts	61	5	2	3	1
MODULE-UNREACHABLE	ResolveError	class	packages/mod-sdk/src/resolve.ts	30	1	1	1	6
MODULE-UNREACHABLE	satisfies	function	packages/mod-sdk/src/semver.ts	220	9	3	8	1
MODULE-UNREACHABLE	SemverError	class	packages/mod-sdk/src/semver.ts	31	2	1	1	7
